,frac_pol,psi0_deg,RM_screen_radm2,RM_src_radm2,sigma_RM_2,sigmaRM_FG,frac_pol_2_comp,SNR,model,frac_pol_seed,RM_screen_seed,RM_source_seed,sigmaRM_seed,sigma_FG_seed,psi0_seed
0,0.17941021906086593,62.805593824185145,628.6189106016109,0,0,0,0,7.492796228829455,faraday_simple,1354,9431,42235,43209,3232,93321
1,0.2844841690844,5.213443884239584,958.2435001739241,0,0,0,0,5.61519410002677,faraday_simple,1354,9431,42235,43209,3232,93321
2,0.3486901265503547,161.55688024471874,-797.6587953984101,0,0,0,0,8.295651352313225,faraday_simple,1354,9431,42235,43209,3232,93321
3,0.1632111096462726,156.04696576207962,-943.091549803795,0,0,0,0,28.17625391901562,faraday_simple,1354,9431,42235,43209,3232,93321
4,0.08917809422934242,139.28579287693051,-791.9675727101971,0,0,0,0,44.93573967132085,faraday_simple,1354,9431,42235,43209,3232,93321
5,0.1621238985097608,165.65724990058465,1028.2657217125352,0,0,0,0,23.360762225162862,faraday_simple,1354,9431,42235,43209,3232,93321
6,0.30876214298750154,153.90234027364014,-368.02836715866295,0,0,0,0,33.01632518214177,faraday_simple,1354,9431,42235,43209,3232,93321
7,0.28167382342947356,138.64525561701385,-687.4086009727,0,0,0,0,3.2895967424400188,faraday_simple,1354,9431,42235,43209,3232,93321
8,0.27682799686786475,148.8529477582749,-157.4153806223876,0,0,0,0,7.15038487084358,faraday_simple,1354,9431,42235,43209,3232,93321
9,0.1508697596875482,90.74801803603425,-632.835145513352,0,0,0,0,36.93855977541247,faraday_simple,1354,9431,42235,43209,3232,93321
10,0.20766030383683134,176.9973165719584,-993.9671504542796,0,0,0,0,21.07281321685416,faraday_simple,1354,9431,42235,43209,3232,93321
11,0.03294771495831407,97.7753192172691,-39.87687049117653,0,0,0,0,34.45257182816083,faraday_simple,1354,9431,42235,43209,3232,93321
12,0.38878967931785907,170.28058643601048,9.972260442576726,0,0,0,0,12.455549944084002,faraday_simple,1354,9431,42235,43209,3232,93321
13,0.2742397010100736,65.31004902020952,-880.5641709083941,0,0,0,0,41.47460695159952,faraday_simple,1354,9431,42235,43209,3232,93321
14,0.18926996986123623,100.87599553744803,603.3190383767881,0,0,0,0,16.264711650619752,faraday_simple,1354,9431,42235,43209,3232,93321
15,0.20529674792945943,40.70822617139975,-840.4169930314231,0,0,0,0,49.56176124881985,faraday_simple,1354,9431,42235,43209,3232,93321
16,0.38822624798976313,17.352974193855253,25.96691474563022,0,0,0,0,6.65478029685932,faraday_simple,1354,9431,42235,43209,3232,93321
